converterSerial,bgswid,objectName,gateway,GW_online,GW_health,GW_last_seen,FWversion,connection,mobile_rssi,disconnects_last_24h,gotVislist,vislistCount,isBinded,inVislist,seenCountToday,see_MBP_reqs,see_MDP_resps,resp_status_ok,conv_error_and_MB_exception
00176297,2941785,Mecklenburgische Straße 86,020000014000693F,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-71,0,YES,167,YES,YES,83,NO,NO,NO,
00176347,2953087,Neue Schönhauser Straße 18,020000014000770C,YES,ok,2025-10-14 06:49,3.1.21-tarent-55,mobile,-79,0,YES,0,YES,NO
00176117,2811061,Corinthstraße 14,0200000140006294,YES,ok,2025-10-14 06:53,3.1.21-vfde-57,mobile,-79,1,YES,21,YES,YES,94,NO,NO,NO,
00176205,2953087,Neue Schönhauser Straße 18,020000014000770C,YES,ok,2025-10-14 06:49,3.1.21-tarent-55,mobile,-79,0,YES,0,YES,NO
00176138,8312323,Alexanderstraße 27,020000014000722D,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-79,0,YES,2,YES,YES,95,NO,NO,NO,
00175983,2899988,Karl-Liebknecht-Straße 9,02000001400071DB,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-81,0,YES,5,YES,YES,87,NO,NO,NO,
00176028,3023630,Stralauer Allee 32,0200000140007759,YES,ok,2025-10-14 06:48,3.1.21-vfde-59,mobile,-69,1,YES,51,YES,YES,91,NO,NO,NO,
00176171,2911875,Koppenstraße 60,02000001400068D0,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-57,0,YES,171,YES,YES,94,NO,NO,NO,
00187614,24799913,Brunsbütteler Damm 285,07000001700204EF,YES,ok,2025-10-14 06:52,vfde-59,mobile,-82,42,YES,1,YES,YES,131,NO,NO,NO,
00176341,3018887,Spreeufer 2,0200000140007030,YES,ok,2025-10-14 06:50,3.1.21-vfde-59,mobile,-81,0,YES,69,YES,YES,87,NO,NO,NO,
00175908,2946565,Mollstraße 29,02000001400068F5,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-61,0,YES,22,YES,YES,96,NO,NO,NO,
00176357,2753054,Almstadtstraße 55,02000001400074AC,YES,ok,2025-10-14 06:51,3.1.21-vfde-59,mobile,-67,0,YES,342,YES,YES,86,NO,NO,NO,
00176239,2796541,Boxhagener Straße 93,07000001700204F9,YES,ok,2025-10-14 06:48,vfde-59,mobile,,0,YES,31,YES,YES,94,NO,NO,NO,
00176118,2807973,Cauerstraße 10,0200000140006343,YES,ok,2025-10-14 06:49,3.1.21-vfde-59,mobile,-83,0,YES,291,YES,YES,86,NO,NO,NO,
